Date,Footfall
01/01/2021,0
02/01/2021,-10
03/01/2021,-3
04/01/2021,8
05/01/2021,-19
06/01/2021,2
07/01/2021,5
08/01/2021,1
09/01/2021,-6
10/01/2021,-7
11/01/2021,8
12/01/2021,-3
13/01/2021,-6
14/01/2021,-5
15/01/2021,-8
16/01/2021,-13
17/01/2021,-10
18/01/2021,6
19/01/2021,-4
20/01/2021,-2
21/01/2021,-1
22/01/2021,-3
23/01/2021,-8
24/01/2021,-2
25/01/2021,11
26/01/2021,-1
27/01/2021,0
28/01/2021,1
29/01/2021,2
30/01/2021,0
31/01/2021,5
01/02/2021,19
02/02/2021,8
03/02/2021,4
04/02/2021,5
05/02/2021,-6
06/02/2021,-4
07/02/2021,-1
08/02/2021,16
09/02/2021,8
10/02/2021,9
11/02/2021,7
12/02/2021,7
13/02/2021,4
14/02/2021,11
15/02/2021,21
16/02/2021,9
17/02/2021,10
18/02/2021,10
19/02/2021,10
20/02/2021,7
21/02/2021,11
22/02/2021,23
23/02/2021,12
24/02/2021,11
25/02/2021,11
26/02/2021,12
27/02/2021,8
28/02/2021,12
01/03/2021,27
02/03/2021,16
03/03/2021,15
04/03/2021,16
05/03/2021,16
06/03/2021,11
07/03/2021,16
08/03/2021,29
09/03/2021,15
10/03/2021,17
11/03/2021,16
12/03/2021,13
13/03/2021,10
14/03/2021,9
15/03/2021,18
16/03/2021,6
17/03/2021,6
18/03/2021,7
19/03/2021,6
20/03/2021,-14
21/03/2021,-12
22/03/2021,24
23/03/2021,5
24/03/2021,9
25/03/2021,9
26/03/2021,8
27/03/2021,-14
28/03/2021,-12
29/03/2021,13
30/03/2021,-4
31/03/2021,2
01/04/2021,0
02/04/2021,1
03/04/2021,-22
04/04/2021,-18
05/04/2021,16
06/04/2021,0
07/04/2021,4
08/04/2021,5
09/04/2021,6
10/04/2021,-19
11/04/2021,-14
12/04/2021,24
13/04/2021,3
14/04/2021,-21
15/04/2021,-22
16/04/2021,-26
17/04/2021,-41
18/04/2021,-37
19/04/2021,-18
20/04/2021,-13
21/04/2021,-7
22/04/2021,-8
23/04/2021,-9
24/04/2021,-32
25/04/2021,-30
26/04/2021,5
27/04/2021,-9
28/04/2021,-11
29/04/2021,-10
30/04/2021,-8
01/05/2021,-42
02/05/2021,-38
03/05/2021,9
04/05/2021,-2
05/05/2021,1
06/05/2021,8
07/05/2021,6
08/05/2021,-35
09/05/2021,-34
10/05/2021,-20
11/05/2021,-28
12/05/2021,-30
13/05/2021,-17
14/05/2021,-31
15/05/2021,-37
16/05/2021,-27
17/05/2021,7
18/05/2021,0
19/05/2021,3
20/05/2021,2
21/05/2021,5
22/05/2021,-22
23/05/2021,-14
24/05/2021,25
25/05/2021,10
26/05/2021,9
27/05/2021,10
28/05/2021,13
29/05/2021,-16
30/05/2021,-10
31/05/2021,27
01/06/2021,21
02/06/2021,20
03/06/2021,23
04/06/2021,22
05/06/2021,-9
06/06/2021,-5
07/06/2021,36
08/06/2021,20
09/06/2021,18
10/06/2021,18
11/06/2021,20
12/06/2021,-8
13/06/2021,-1
14/06/2021,37
15/06/2021,24
16/06/2021,22
17/06/2021,18
18/06/2021,17
19/06/2021,6
20/06/2021,-3
21/06/2021,29
22/06/2021,16
23/06/2021,15
24/06/2021,16
25/06/2021,16
26/06/2021,12
27/06/2021,-1
28/06/2021,31
29/06/2021,13
30/06/2021,14
01/07/2021,21
02/07/2021,23
03/07/2021,18
04/07/2021,6
05/07/2021,41
06/07/2021,26
07/07/2021,26
08/07/2021,25
09/07/2021,27
10/07/2021,21
11/07/2021,10
12/07/2021,42
13/07/2021,29
14/07/2021,30
15/07/2021,30
16/07/2021,29
17/07/2021,20
18/07/2021,4
19/07/2021,49
20/07/2021,19
21/07/2021,-17
22/07/2021,-15
23/07/2021,-9
24/07/2021,-11
25/07/2021,-12
26/07/2021,28
27/07/2021,19
28/07/2021,17
29/07/2021,22
30/07/2021,23
31/07/2021,11
01/08/2021,7
02/08/2021,38
03/08/2021,22
04/08/2021,24
05/08/2021,23
06/08/2021,25
07/08/2021,-1
08/08/2021,4
09/08/2021,44
10/08/2021,27
11/08/2021,26
12/08/2021,27
13/08/2021,29
14/08/2021,-6
15/08/2021,1
16/08/2021,36
17/08/2021,22
18/08/2021,-26
19/08/2021,-46
20/08/2021,8
21/08/2021,-8
22/08/2021,-2
23/08/2021,39
24/08/2021,23
25/08/2021,22
26/08/2021,22
27/08/2021,24
28/08/2021,-1
29/08/2021,3
30/08/2021,40
31/08/2021,26
01/09/2021,26
02/09/2021,28
03/09/2021,32
04/09/2021,1
05/09/2021,4
06/09/2021,41
07/09/2021,26
08/09/2021,28
09/09/2021,23
10/09/2021,14
11/09/2021,-5
12/09/2021,6
13/09/2021,44
14/09/2021,29
15/09/2021,28
16/09/2021,27
17/09/2021,30
18/09/2021,1
19/09/2021,6
20/09/2021,44
21/09/2021,25
22/09/2021,29
23/09/2021,31
24/09/2021,31
25/09/2021,18
26/09/2021,10
27/09/2021,42
28/09/2021,14
29/09/2021,29
30/09/2021,29
01/10/2021,33
02/10/2021,24
03/10/2021,18
04/10/2021,51
05/10/2021,36
06/10/2021,36
07/10/2021,36
08/10/2021,37
09/10/2021,29
10/10/2021,21
11/10/2021,53
12/10/2021,38
13/10/2021,39
14/10/2021,37
15/10/2021,38
16/10/2021,28
17/10/2021,25
18/10/2021,55
19/10/2021,12
20/10/2021,35
21/10/2021,30
22/10/2021,25
23/10/2021,17
24/10/2021,19
25/10/2021,49
26/10/2021,30
27/10/2021,34
28/10/2021,34
29/10/2021,31
30/10/2021,28
31/10/2021,29
01/11/2021,52
02/11/2021,37
03/11/2021,39
04/11/2021,40
05/11/2021,42
06/11/2021,35
07/11/2021,35
08/11/2021,57
09/11/2021,43
10/11/2021,41
11/11/2021,38
12/11/2021,45
13/11/2021,37
14/11/2021,39
15/11/2021,58
16/11/2021,43
17/11/2021,43
18/11/2021,43
19/11/2021,44
20/11/2021,36
21/11/2021,40
22/11/2021,59
23/11/2021,42
