Date,Footfall
01/01/2021,8
02/01/2021,5
03/01/2021,7
04/01/2021,15
05/01/2021,12
06/01/2021,12
07/01/2021,13
08/01/2021,11
09/01/2021,7
10/01/2021,6
11/01/2021,15
12/01/2021,8
13/01/2021,9
14/01/2021,7
15/01/2021,4
16/01/2021,-1
17/01/2021,5
18/01/2021,8
19/01/2021,3
20/01/2021,7
21/01/2021,7
22/01/2021,8
23/01/2021,4
24/01/2021,11
25/01/2021,13
26/01/2021,7
27/01/2021,9
28/01/2021,10
29/01/2021,11
30/01/2021,8
31/01/2021,17
01/02/2021,20
02/02/2021,17
03/02/2021,13
04/02/2021,11
05/02/2021,6
06/02/2021,4
07/02/2021,-16
08/02/2021,14
09/02/2021,14
10/02/2021,18
11/02/2021,17
12/02/2021,16
13/02/2021,11
14/02/2021,21
15/02/2021,18
16/02/2021,17
17/02/2021,21
18/02/2021,20
19/02/2021,19
20/02/2021,16
21/02/2021,20
22/02/2021,22
23/02/2021,18
24/02/2021,18
25/02/2021,22
26/02/2021,14
27/02/2021,21
28/02/2021,27
01/03/2021,29
02/03/2021,24
03/03/2021,24
04/03/2021,26
05/03/2021,26
06/03/2021,23
07/03/2021,31
08/03/2021,31
09/03/2021,25
10/03/2021,27
11/03/2021,25
12/03/2021,27
13/03/2021,22
14/03/2021,25
15/03/2021,27
16/03/2021,19
17/03/2021,19
18/03/2021,23
19/03/2021,21
20/03/2021,-5
21/03/2021,-1
22/03/2021,17
23/03/2021,2
24/03/2021,26
25/03/2021,27
26/03/2021,23
27/03/2021,-9
28/03/2021,1
29/03/2021,29
30/03/2021,18
31/03/2021,18
01/04/2021,20
02/04/2021,24
03/04/2021,-11
04/04/2021,-2
05/04/2021,36
06/04/2021,25
07/04/2021,28
08/04/2021,31
09/04/2021,29
10/04/2021,-7
11/04/2021,4
12/04/2021,50
13/04/2021,21
14/04/2021,-40
15/04/2021,-33
16/04/2021,-22
17/04/2021,-32
18/04/2021,-23
19/04/2021,3
20/04/2021,1
21/04/2021,0
22/04/2021,0
23/04/2021,0
24/04/2021,-31
25/04/2021,-34
26/04/2021,1
27/04/2021,-5
28/04/2021,-3
29/04/2021,0
30/04/2021,-1
01/05/2021,-34
02/05/2021,-30
03/05/2021,10
04/05/2021,4
05/05/2021,13
06/05/2021,20
07/05/2021,26
08/05/2021,-26
09/05/2021,-25
10/05/2021,-15
11/05/2021,-12
12/05/2021,5
13/05/2021,-22
14/05/2021,-26
15/05/2021,-31
16/05/2021,-18
17/05/2021,12
18/05/2021,12
19/05/2021,15
20/05/2021,18
21/05/2021,16
22/05/2021,-12
23/05/2021,-11
24/05/2021,31
25/05/2021,22
26/05/2021,21
27/05/2021,26
28/05/2021,23
29/05/2021,-9
30/05/2021,-3
31/05/2021,34
01/06/2021,32
02/06/2021,31
03/06/2021,35
04/06/2021,30
05/06/2021,-3
06/06/2021,5
07/06/2021,38
08/06/2021,32
09/06/2021,31
10/06/2021,32
11/06/2021,30
12/06/2021,4
13/06/2021,6
14/06/2021,41
15/06/2021,30
16/06/2021,29
17/06/2021,31
18/06/2021,27
19/06/2021,13
20/06/2021,4
21/06/2021,28
22/06/2021,21
23/06/2021,22
24/06/2021,22
25/06/2021,21
26/06/2021,15
27/06/2021,4
28/06/2021,30
29/06/2021,21
30/06/2021,22
01/07/2021,28
02/07/2021,26
03/07/2021,23
04/07/2021,7
05/07/2021,43
06/07/2021,34
07/07/2021,31
08/07/2021,32
09/07/2021,25
10/07/2021,22
11/07/2021,8
12/07/2021,45
13/07/2021,43
14/07/2021,40
15/07/2021,35
16/07/2021,30
17/07/2021,22
18/07/2021,7
19/07/2021,53
20/07/2021,38
21/07/2021,-37
22/07/2021,-31
23/07/2021,-25
24/07/2021,-23
25/07/2021,-19
26/07/2021,18
27/07/2021,23
28/07/2021,24
29/07/2021,26
30/07/2021,22
31/07/2021,18
01/08/2021,5
02/08/2021,32
03/08/2021,23
04/08/2021,26
05/08/2021,26
06/08/2021,26
07/08/2021,-2
08/08/2021,6
09/08/2021,35
10/08/2021,23
11/08/2021,26
12/08/2021,29
13/08/2021,30
14/08/2021,4
15/08/2021,6
16/08/2021,30
17/08/2021,19
18/08/2021,-37
19/08/2021,-38
20/08/2021,17
21/08/2021,8
22/08/2021,9
23/08/2021,31
24/08/2021,23
25/08/2021,23
26/08/2021,28
27/08/2021,24
28/08/2021,1
29/08/2021,8
30/08/2021,39
31/08/2021,32
