Date,Footfall
01/01/2021,-12
02/01/2021,-13
03/01/2021,-9
04/01/2021,-5
05/01/2021,-7
06/01/2021,-8
07/01/2021,-9
08/01/2021,-17
09/01/2021,-12
10/01/2021,-10
11/01/2021,-5
12/01/2021,-9
13/01/2021,-11
14/01/2021,-10
15/01/2021,-16
16/01/2021,-16
17/01/2021,-10
18/01/2021,-10
19/01/2021,-11
20/01/2021,-12
21/01/2021,-9
22/01/2021,-13
23/01/2021,-13
24/01/2021,-8
25/01/2021,-8
26/01/2021,-10
27/01/2021,-12
28/01/2021,-9
29/01/2021,-9
30/01/2021,-8
31/01/2021,-1
01/02/2021,-2
02/02/2021,-2
03/02/2021,-7
04/02/2021,-3
05/02/2021,-13
06/02/2021,-12
07/02/2021,-9
08/02/2021,-4
09/02/2021,-3
10/02/2021,-2
11/02/2021,-2
12/02/2021,-3
13/02/2021,-2
14/02/2021,4
15/02/2021,2
16/02/2021,2
17/02/2021,2
18/02/2021,3
19/02/2021,1
20/02/2021,0
21/02/2021,5
22/02/2021,4
23/02/2021,2
24/02/2021,2
25/02/2021,5
26/02/2021,1
27/02/2021,2
28/02/2021,8
01/03/2021,8
02/03/2021,6
03/03/2021,5
04/03/2021,7
05/03/2021,5
06/03/2021,5
07/03/2021,11
08/03/2021,10
09/03/2021,7
10/03/2021,6
11/03/2021,8
12/03/2021,3
13/03/2021,6
14/03/2021,12
15/03/2021,9
16/03/2021,8
17/03/2021,7
18/03/2021,9
19/03/2021,6
20/03/2021,6
21/03/2021,11
22/03/2021,19
23/03/2021,14
24/03/2021,6
25/03/2021,8
26/03/2021,5
27/03/2021,4
28/03/2021,8
29/03/2021,1
30/03/2021,0
31/03/2021,8
01/04/2021,9
02/04/2021,7
03/04/2021,4
04/04/2021,8
05/04/2021,14
06/04/2021,12
07/04/2021,12
08/04/2021,15
09/04/2021,-2
10/04/2021,12
11/04/2021,5
12/04/2021,25
13/04/2021,15
14/04/2021,-22
15/04/2021,-14
16/04/2021,-28
17/04/2021,-16
18/04/2021,-21
19/04/2021,-22
20/04/2021,-3
21/04/2021,-4
22/04/2021,-2
23/04/2021,-18
24/04/2021,-10
25/04/2021,-20
26/04/2021,2
27/04/2021,-1
28/04/2021,-1
29/04/2021,0
30/04/2021,-24
01/05/2021,-6
02/05/2021,-23
03/05/2021,7
04/05/2021,0
05/05/2021,7
06/05/2021,15
07/05/2021,-7
08/05/2021,-2
09/05/2021,-28
10/05/2021,-18
11/05/2021,-19
12/05/2021,-9
13/05/2021,-4
14/05/2021,-20
15/05/2021,-28
16/05/2021,-18
17/05/2021,-1
18/05/2021,-6
19/05/2021,2
20/05/2021,5
21/05/2021,0
22/05/2021,-4
23/05/2021,-6
24/05/2021,2
25/05/2021,-6
26/05/2021,-6
27/05/2021,0
28/05/2021,-19
29/05/2021,-2
30/05/2021,-12
31/05/2021,8
01/06/2021,5
02/06/2021,6
03/06/2021,8
04/06/2021,-14
05/06/2021,5
06/06/2021,-7
07/06/2021,18
08/06/2021,15
09/06/2021,16
10/06/2021,16
11/06/2021,-5
12/06/2021,11
13/06/2021,1
14/06/2021,17
15/06/2021,13
16/06/2021,11
17/06/2021,9
18/06/2021,0
19/06/2021,6
20/06/2021,0
21/06/2021,12
22/06/2021,10
23/06/2021,10
24/06/2021,13
25/06/2021,7
26/06/2021,9
27/06/2021,5
28/06/2021,17
29/06/2021,12
30/06/2021,13
01/07/2021,18
02/07/2021,13
03/07/2021,16
04/07/2021,10
05/07/2021,26
06/07/2021,23
07/07/2021,24
08/07/2021,24
09/07/2021,20
10/07/2021,19
11/07/2021,11
12/07/2021,7
13/07/2021,22
14/07/2021,14
15/07/2021,14
16/07/2021,10
17/07/2021,14
18/07/2021,8
19/07/2021,38
20/07/2021,38
21/07/2021,-15
22/07/2021,-13
23/07/2021,-12
24/07/2021,-5
25/07/2021,-6
26/07/2021,5
27/07/2021,2
28/07/2021,2
29/07/2021,5
30/07/2021,-14
31/07/2021,-30
01/08/2021,-26
02/08/2021,-16
03/08/2021,-17
04/08/2021,-16
05/08/2021,-15
06/08/2021,-21
07/08/2021,-22
08/08/2021,-16
09/08/2021,21
10/08/2021,20
11/08/2021,20
12/08/2021,25
13/08/2021,5
14/08/2021,4
15/08/2021,-2
16/08/2021,22
17/08/2021,7
18/08/2021,-23
19/08/2021,-35
20/08/2021,-10
21/08/2021,8
22/08/2021,0
23/08/2021,20
24/08/2021,17
25/08/2021,17
26/08/2021,21
27/08/2021,0
28/08/2021,19
29/08/2021,9
30/08/2021,25
31/08/2021,22
01/09/2021,16
02/09/2021,21
03/09/2021,-19
04/09/2021,2
05/09/2021,11
06/09/2021,32
07/09/2021,26
08/09/2021,25
09/09/2021,16
10/09/2021,15
11/09/2021,23
12/09/2021,18
13/09/2021,28
14/09/2021,23
15/09/2021,18
16/09/2021,23
17/09/2021,18
18/09/2021,20
19/09/2021,17
20/09/2021,28
21/09/2021,25
22/09/2021,24
23/09/2021,8
24/09/2021,14
25/09/2021,19
26/09/2021,16
27/09/2021,24
28/09/2021,8
29/09/2021,23
30/09/2021,12
01/10/2021,-3
